,pop_grid_pop,geometry,pop_grid_id
0,,"POLYGON ((290637.18376545666 1032684.745481463, 291552.75111504184 1032679.8123291996, 291547.79741075385 1031758.0030043122, 290632.20827129297 1031762.9319100417, 290637.18376545666 1032684.745481463))",0
1,,"POLYGON ((291552.75111504184 1032679.8123291996, 292468.3142563199 1032674.9008285331, 292463.3823413935 1031753.0957315437, 291547.79741075385 1031758.0030043122, 291552.75111504184 1032679.8123291996))",1
2,,"POLYGON ((292468.3142563199 1032674.9008285331, 293383.87320779916 1032670.0109789534, 293378.9630817226 1031748.2100912269, 292463.3823413935 1031753.0957315437, 292468.3142563199 1032674.9008285331))",2
3,,"POLYGON ((293383.87320779916 1032670.0109789534, 294299.42798798776 1032665.1427799539, 294294.53965025116 1031743.3460828548, 293378.9630817226 1031748.2100912269, 293383.87320779916 1032670.0109789534))",3
4,,"POLYGON ((294299.42798798776 1032665.1427799539, 295214.9786153933 1032660.2962310283, 295210.11206548975 1031738.5037059227, 294294.53965025116 1031743.3460828548, 294299.42798798776 1032665.1427799539))",4
5,,"POLYGON ((295214.9786153933 1032660.2962310283, 296130.52510852297 1032655.4713316746, 296125.68034594716 1031733.6829599277, 295210.11206548975 1031738.5037059227, 295214.9786153933 1032660.2962310283))",5
6,,"POLYGON ((296130.52510852297 1032655.4713316746, 297046.0674858835 1032650.6680813917, 297041.2445101328 1031728.8838443703, 296125.68034594716 1031733.6829599277, 296130.52510852297 1032655.4713316746))",6
7,,"POLYGON ((297046.0674858835 1032650.6680813917, 297961.6057659815 1032645.8864796811, 297956.80457655527 1031724.1063587512, 297041.2445101328 1031728.8838443703, 297046.0674858835 1032650.6680813917))",7
8,,"POLYGON ((297961.6057659815 1032645.8864796811, 298877.13996732293 1032641.1265260467, 298872.360563723 1031719.3505025757, 297956.80457655527 1031724.1063587512, 297961.6057659815 1032645.8864796811))",8
9,,"POLYGON ((298877.13996732293 1032641.1265260467, 299792.6701084133 1032636.3882199944, 299787.9124901438 1031714.61627535, 298872.360563723 1031719.3505025757, 298877.13996732293 1032641.1265260467))",9
10,,"POLYGON ((299792.6701084133 1032636.3882199944, 300708.196207758 1032631.6715610325, 300703.46037432505 1031709.9036765823, 299787.9124901438 1031714.61627535, 299792.6701084133 1032636.3882199944))",10
11,,"POLYGON ((300708.196207758 1032631.6715610325, 301623.7182838619 1032626.976548672, 301619.004234774 1031705.2127057841, 300703.46037432505 1031709.9036765823, 300708.196207758 1032631.6715610325))",11
12,,"POLYGON ((301623.7182838619 1032626.976548672, 302539.2363552293 1032622.303182425, 302534.54408999736 1031700.5433624682, 301619.004234774 1031705.2127057841, 301623.7182838619 1032626.976548672))",12
13,,"POLYGON ((302539.2363552293 1032622.303182425, 303454.75044036435 1032617.651461807, 303450.0799585015 1031695.8956461502, 302534.54408999736 1031700.5433624682, 302539.2363552293 1032622.303182425))",13
