,pop_grid_pop,geometry,pop_grid_id
0,,"POLYGON ((-565392.0266899928 659176.2260158836, -564456.7382870254 659160.0566257231, -564472.8667827782 658226.0602970086, -565408.169887728 658242.2071073283, -565392.0266899928 659176.2260158836))",0
1,,"POLYGON ((-564456.7382870254 659160.0566257231, -563521.4724838699 659143.9019672123, -563537.5862794027 658209.9281977911, -564472.8667827782 658226.0602970086, -564456.7382870254 659160.0566257231))",1
2,,"POLYGON ((-563521.4724838699 659143.9019672123, -562586.2292599522 659127.7620385857, -562602.3283570269 658193.8108079126, -563537.5862794027 658209.9281977911, -563521.4724838699 659143.9019672123))",2
3,,"POLYGON ((-562586.2292599522 659127.7620385857, -561651.0085947022 659111.6368380792, -561667.0929950771 658177.7081256115, -562602.3283570269 658193.8108079126, -562586.2292599522 659127.7620385857))",3
4,,"POLYGON ((-561651.0085947022 659111.6368380792, -560715.8104675501 659095.5263639309, -560731.8801729835 658161.6201491284, -561667.0929950771 658177.7081256115, -561651.0085947022 659111.6368380792))",4
5,,"POLYGON ((-560715.8104675501 659095.5263639309, -559780.6348579288 659079.43061438, -559796.6898701766 658145.5468767048, -560731.8801729835 658161.6201491284, -560715.8104675501 659095.5263639309))",5
6,,"POLYGON ((-559780.6348579288 659079.43061438, -558845.4817452752 659063.349587668, -558861.5220660919 658129.4883065844, -559796.6898701766 658145.5468767048, -559780.6348579288 659079.43061438))",6
7,,"POLYGON ((-558845.4817452752 659063.349587668, -557910.3511090262 659047.2832820375, -557926.3767401646 658113.4444370124, -558861.5220660919 658129.4883065844, -558845.4817452752 659063.349587668))",7
8,,"POLYGON ((-557910.3511090262 659047.2832820375, -556975.2429286237 659031.2316957335, -556991.2538718341 658097.4152662362, -557926.3767401646 658113.4444370124, -557910.3511090262 659047.2832820375))",8
9,,"POLYGON ((-556975.2429286237 659031.2316957335, -556040.1571835098 659015.194827002, -556056.1534405418 658081.4007925043, -556991.2538718341 658097.4152662362, -556975.2429286237 659031.2316957335))",9
10,,"POLYGON ((-556040.1571835098 659015.194827002, -555105.0938531307 658999.1726740914, -555121.0754257317 658065.401014067, -556056.1534405418 658081.4007925043, -556040.1571835098 659015.194827002))",10
11,,"POLYGON ((-555105.0938531307 658999.1726740914, -554170.0529169331 658983.1652352512, -554186.0198068491 658049.4159291767, -555121.0754257317 658065.401014067, -555105.0938531307 658999.1726740914))",11
12,,"POLYGON ((-554170.0529169331 658983.1652352512, -553235.0343543682 658967.172508733, -553250.9865633426 658033.4455360873, -554186.0198068491 658049.4159291767, -554170.0529169331 658983.1652352512))",12
13,,"POLYGON ((-553235.0343543682 658967.172508733, -552300.0381448872 658951.1944927899, -552315.9756746632 658017.4898330538, -553250.9865633426 658033.4455360873, -553235.0343543682 658967.172508733))",13
14,,"POLYGON ((-552300.0381448872 658951.1944927899, -551365.0642679462 658935.231185677, -551380.9871202642 658001.5488183341, -552315.9756746632 658017.4898330538, -552300.0381448872 658951.1944927899))",14
15,,"POLYGON ((-551365.0642679462 658935.231185677, -550430.112703002 658919.2825856506, -550446.0208796004 657985.6224901868, -551380.9871202642 658001.5488183341, -551365.0642679462 658935.231185677))",15
16,,"POLYGON ((-550430.112703002 658919.2825856506, -549495.183429514 658903.3486909692, -549511.0769321308 657969.7108468729, -550446.0208796004 657985.6224901868, -550430.112703002 658919.2825856506))",16
17,,"POLYGON ((-549495.183429514 658903.3486909692, -548560.2764269445 658887.4294998929, -548576.1552573149 657953.8138866543, -549511.0769321308 657969.7108468729, -549495.183429514 658903.3486909692))",17
18,,"POLYGON ((-548560.2764269445 658887.4294998929, -547625.3916747572 658871.5250106831, -547641.2558346156 657937.9316077955, -548576.1552573149 657953.8138866543, -548560.2764269445 658887.4294998929))",18
19,,"POLYGON ((-547625.3916747572 658871.5250106831, -546690.5291524199 658855.6352216036, -546706.3786434974 657922.0640085624, -547641.2558346156 657937.9316077955, -547625.3916747572 658871.5250106831))",19
20,,"POLYGON ((-546690.5291524199 658855.6352216036, -545755.688839401 658839.7601309192, -545771.5236634291 657906.2110872219, -546706.3786434974 657922.0640085624, -546690.5291524199 658855.6352216036))",20
21,,"POLYGON ((-545755.688839401 658839.7601309192, -544820.8707151721 658823.8997368969, -544836.6908738788 657890.3728420435, -545771.5236634291 657906.2110872219, -545755.688839401 658839.7601309192))",21
22,,"POLYGON ((-544820.8707151721 658823.8997368969, -543886.0747592063 658808.0540378052, -543901.8802543193 657874.5492712981, -544836.6908738788 657890.3728420435, -544820.8707151721 658823.8997368969))",22
23,,"POLYGON ((-543886.0747592063 658808.0540378052, -542951.3009509809 658792.2230319146, -542967.0917842247 657858.7403732584, -543901.8802543193 657874.5492712981, -543886.0747592063 658808.0540378052))",23
24,,"POLYGON ((-542951.3009509809 658792.2230319146, -542016.5492699736 658776.4067174965, -542032.3254430728 657842.9461461985, -542967.0917842247 657858.7403732584, -542951.3009509809 658792.2230319146))",24
25,,"POLYGON ((-542016.5492699736 658776.4067174965, -541081.8196956656 658760.6050928249, -541097.5812103417 657827.1665883944, -542032.3254430728 657842.9461461985, -542016.5492699736 658776.4067174965))",25
26,,"POLYGON ((-541081.8196956656 658760.6050928249, -540147.1122075395 658744.8181561752, -540162.8590655129 657811.401698124, -541097.5812103417 657827.1665883944, -541081.8196956656 658760.6050928249))",26
27,,"POLYGON ((-540147.1122075395 658744.8181561752, -539212.4267850819 658729.0459058244, -539228.158988071 657795.6514736665, -540162.8590655129 657811.401698124, -540147.1122075395 658744.8181561752))",27
28,,"POLYGON ((-539212.4267850819 658729.0459058244, -538277.7634077795 658713.288340051, -538293.4809575011 657779.915913303, -539228.158988071 657795.6514736665, -539212.4267850819 658729.0459058244))",28
29,,"POLYGON ((-538277.7634077795 658713.288340051, -537343.122055123 658697.5454571358, -537358.8249532923 657764.1950153164, -538293.4809575011 657779.915913303, -538277.7634077795 658713.288340051))",29
30,,"POLYGON ((-537343.122055123 658697.5454571358, -536408.5027066054 658681.8172553608, -536424.1909549357 657748.488777991, -537358.8249532923 657764.1950153164, -537343.122055123 658697.5454571358))",30
31,,"POLYGON ((-536408.5027066054 658681.8172553608, -535473.9053417211 658666.1037330098, -535489.5789419243 657732.7971996132, -536424.1909549357 657748.488777991, -536408.5027066054 658681.8172553608))",31
32,,"POLYGON ((-535473.9053417211 658666.1037330098, -534539.3299399673 658650.4048883683, -534554.9888937536 657717.1202784707, -535489.5789419243 657732.7971996132, -535473.9053417211 658666.1037330098))",32
33,,"POLYGON ((-534539.3299399673 658650.4048883683, -533604.7764808434 658634.7207197238, -533620.4207899215 657701.4580128532, -534554.9888937536 657717.1202784707, -534539.3299399673 658650.4048883683))",33
34,,"POLYGON ((-533604.7764808434 658634.7207197238, -532670.2449438514 658619.051225365, -532685.8746099273 657685.8104010518, -533620.4207899215 657701.4580128532, -533604.7764808434 658634.7207197238))",34
35,,"POLYGON ((-532670.2449438514 658619.051225365, -531735.7353084957 658603.3964035827, -531751.3503332749 657670.1774413597, -532685.8746099273 657685.8104010518, -532670.2449438514 658619.051225365))",35
36,,"POLYGON ((-531735.7353084957 658603.3964035827, -530801.2475542828 658587.7562526694, -530816.8479394683 657654.5591320716, -531751.3503332749 657670.1774413597, -531735.7353084957 658603.3964035827))",36
37,,"POLYGON ((-530801.2475542828 658587.7562526694, -529866.7816607215 658572.1307709187, -529882.3674080148 657638.9554714835, -530816.8479394683 657654.5591320716, -530801.2475542828 658587.7562526694))",37
38,,"POLYGON ((-529866.7816607215 658572.1307709187, -528932.3376073226 658556.5199566266, -528947.9087184244 657623.3664578935, -529882.3674080148 657638.9554714835, -529866.7816607215 658572.1307709187))",38
39,,"POLYGON ((-528932.3376073226 658556.5199566266, -527997.9153735999 658540.9238080905, -528013.4718502078 657607.7920896017, -528947.9087184244 657623.3664578935, -528932.3376073226 658556.5199566266))",39
40,,"POLYGON ((-527997.9153735999 658540.9238080905, -527063.514939069 658525.3423236095, -527079.0567828803 657592.2323649094, -528013.4718502078 657607.7920896017, -527997.9153735999 658540.9238080905))",40
41,,"POLYGON ((-527063.514939069 658525.3423236095, -526129.1362832489 658509.7755014846, -526144.663495957 657576.6872821196, -527079.0567828803 657592.2323649094, -527063.514939069 658525.3423236095))",41
42,,"POLYGON ((-526129.1362832489 658509.7755014846, -525194.7793856586 658494.2233400181, -525210.2919689574 657561.1568395371, -526144.663495957 657576.6872821196, -526129.1362832489 658509.7755014846))",42
43,,"POLYGON ((-525194.7793856586 658494.2233400181, -524260.44422582164 658478.6858375141, -524275.9421814028 657545.6410354687, -525210.2919689574 657561.1568395371, -525194.7793856586 658494.2233400181))",43
44,,"POLYGON ((-524260.44422582164 658478.6858375141, -523326.1307832629 658463.1629922788, -523341.6141128163 657530.1398682223, -524275.9421814028 657545.6410354687, -524260.44422582164 658478.6858375141))",44
45,,"POLYGON ((-523326.1307832629 658463.1629922788, -522391.83903751 658447.6548026198, -522407.3077427229 657514.653336108, -523341.6141128163 657530.1398682223, -523326.1307832629 658463.1629922788))",45
46,,"POLYGON ((-522391.83903751 658447.6548026198, -521457.56896809186 658432.1612668462, -521473.0230506513 657499.1814374373, -522407.3077427229 657514.653336108, -522391.83903751 658447.6548026198))",46
47,,"POLYGON ((-521457.56896809186 658432.1612668462, -520523.3205545407 658416.6823832692, -520538.76001613156 657483.7241705235, -521473.0230506513 657499.1814374373, -521457.56896809186 658432.1612668462))",47
48,,"POLYGON ((-520523.3205545407 658416.6823832692, -519589.093776391 658401.2181502013, -519604.5186186958 657468.2815336814, -520538.76001613156 657483.7241705235, -520523.3205545407 658416.6823832692))",48
49,,"POLYGON ((-519589.093776391 658401.2181502013, -518654.8886131792 658385.7685659567, -518670.29883787944 657452.853525228, -519604.5186186958 657468.2815336814, -519589.093776391 658401.2181502013))",49
50,,"POLYGON ((-518654.8886131792 658385.7685659567, -517720.70504444395 658370.3336288518, -517736.1006532194 657437.4401434815, -518670.29883787944 657452.853525228, -518654.8886131792 658385.7685659567))",50
51,,"POLYGON ((-517720.70504444395 658370.3336288518, -516786.54304972675 658354.9133372043, -516801.9240442553 657422.0413867617, -517736.1006532194 657437.4401434815, -517720.70504444395 658370.3336288518))",51
52,,"POLYGON ((-516786.54304972675 658354.9133372043, -515852.4026085705 658339.5076893336, -515867.7689905283 657406.6572533906, -516801.9240442553 657422.0413867617, -516786.54304972675 658354.9133372043))",52
53,,"POLYGON ((-515852.4026085705 658339.5076893336, -514918.2837005212 658324.1166835608, -514933.6354715822 657391.2877416916, -515867.7689905283 657406.6572533906, -515852.4026085705 658339.5076893336))",53
54,,"POLYGON ((-514918.2837005212 658324.1166835608, -513984.1863051258 658308.7403182085, -513999.523466964 657375.9328499897, -514933.6354715822 657391.2877416916, -514918.2837005212 658324.1166835608))",54
55,,"POLYGON ((-513984.1863051258 658308.7403182085, -513050.1104019362 658293.3785916016, -513065.4329562222 657360.5925766116, -513999.523466964 657375.9328499897, -513984.1863051258 658308.7403182085))",55
56,,"POLYGON ((-513050.1104019362 658293.3785916016, -512116.05597050407 658278.0315020661, -512131.36391890736 657345.266919886, -513065.4329562222 657360.5925766116, -513050.1104019362 658293.3785916016))",56
57,,"POLYGON ((-512116.05597050407 658278.0315020661, -511182.0229903838 658262.6990479297, -511197.3163345724 657329.9558781428, -512131.36391890736 657345.266919886, -512116.05597050407 658278.0315020661))",57
58,,"POLYGON ((-511182.0229903838 658262.6990479297, -510248.0114411325 658247.3812275224, -510263.2901827728 657314.659449714, -511197.3163345724 657329.9558781428, -511182.0229903838 658262.6990479297))",58
59,,"POLYGON ((-510248.0114411325 658247.3812275224, -509314.0213023103 658232.0780391752, -509329.2854430665 657299.3776329332, -510263.2901827728 657314.659449714, -510248.0114411325 658247.3812275224))",59
60,,"POLYGON ((-509314.0213023103 658232.0780391752, -508380.0525534783 658216.7894812209, -508395.30209501274 657284.1104261355, -509329.2854430665 657299.3776329332, -509314.0213023103 658232.0780391752))",60
61,,"POLYGON ((-508380.0525534783 658216.7894812209, -507446.1051742 658201.5155519944, -507461.3401181747 657268.8578276577, -508395.30209501274 657284.1104261355, -508380.0525534783 658216.7894812209))",61
62,,"POLYGON ((-507446.1051742 658201.5155519944, -506512.1791440421 658186.2562498321, -506527.3994921162 657253.6198358384, -507461.3401181747 657268.8578276577, -507446.1051742 658201.5155519944))",62
63,,"POLYGON ((-506512.1791440421 658186.2562498321, -505578.27444257296 658171.0115730717, -505593.4801964036 657238.3964490182, -506527.3994921162 657253.6198358384, -506512.1791440421 658186.2562498321))",63
64,,"POLYGON ((-505578.27444257296 658171.0115730717, -504644.3910493626 658155.7815200529, -504659.58221060666 657223.1876655385, -505593.4801964036 657238.3964490182, -505578.27444257296 658171.0115730717))",64
65,,"POLYGON ((-504644.3910493626 658155.7815200529, -503710.52894398477 658140.5660891173, -503725.7055142963 657207.9934837435, -504659.58221060666 657223.1876655385, -504644.3910493626 658155.7815200529))",65
66,,"POLYGON ((-503710.52894398477 658140.5660891173, -502776.6881060144 658125.3652786078, -502791.8500870459 657192.8139019781, -503725.7055142963 657207.9934837435, -503710.52894398477 658140.5660891173))",66
67,,"POLYGON ((-502776.6881060144 658125.3652786078, -501842.8685150286 658110.1790868692, -501858.01590843115 657177.6489185892, -502791.8500870459 657192.8139019781, -502776.6881060144 658125.3652786078))",67
68,,"POLYGON ((-501842.8685150286 658110.1790868692, -500909.07015060657 658095.0075122479, -500924.2029580298 657162.4985319258, -501858.01590843115 657177.6489185892, -501842.8685150286 658110.1790868692))",68
69,,"POLYGON ((-500909.07015060657 658095.0075122479, -499975.2929923313 658079.8505530918, -499990.41121542256 657147.3627403381, -500924.2029580298 657162.4985319258, -500909.07015060657 658095.0075122479))",69
70,,"POLYGON ((-499975.2929923313 658079.8505530918, -499041.53701978596 658064.7082077512, -499056.64066019154 657132.2415421781, -499990.41121542256 657147.3627403381, -499975.2929923313 658079.8505530918))",70
71,,"POLYGON ((-499041.53701978596 658064.7082077512, -498107.802212558 658049.5804745771, -498122.8912719216 657117.1349357996, -499056.64066019154 657132.2415421781, -499041.53701978596 658064.7082077512))",71
72,,"POLYGON ((-498107.802212558 658049.5804745771, -497174.0885502349 658034.4673519229, -497189.1630301998 657102.042919558, -498122.8912719216 657117.1349357996, -498107.802212558 658049.5804745771))",72
73,,"POLYGON ((-497174.0885502349 658034.4673519229, -496240.39601240854 658019.3688381431, -496255.4559146154 657086.9654918101, -497189.1630301998 657102.042919558, -497174.0885502349 658034.4673519229))",73
74,,"POLYGON ((-496240.39601240854 658019.3688381431, -495306.7245786713 658004.2849315945, -495321.76990475936 657071.902650915, -496255.4559146154 657086.9654918101, -496240.39601240854 658019.3688381431))",74
75,,"POLYGON ((-495306.7245786713 658004.2849315945, -494373.07422861864 657989.2156306352, -494388.1049802259 657056.8543952327, -495321.76990475936 657071.902650915, -495306.7245786713 658004.2849315945))",75
76,,"POLYGON ((-494373.07422861864 657989.2156306352, -493439.444941849 657974.1609336252, -493454.4611206108 657041.8207231258, -494388.1049802259 657056.8543952327, -494373.07422861864 657989.2156306352))",76
77,,"POLYGON ((-493439.444941849 657974.1609336252, -492505.83669796074 657959.1208389259, -492520.83830551174 657026.8016329576, -493454.4611206108 657041.8207231258, -493439.444941849 657974.1609336252))",77
78,,"POLYGON ((-492505.83669796074 657959.1208389259, -491572.2494765568 657944.0953449006, -491587.2365145299 657011.7971230941, -492520.83830551174 657026.8016329576, -492505.83669796074 657959.1208389259))",78
79,,"POLYGON ((-491572.2494765568 657944.0953449006, -490638.6832572416 657929.084449914, -490653.6557272667 656996.8071919018, -491587.2365145299 657011.7971230941, -491572.2494765568 657944.0953449006))",79
80,,"POLYGON ((-490638.6832572416 657929.084449914, -489705.1380196209 657914.088152333, -489720.09592332796 656981.8318377497, -490653.6557272667 656996.8071919018, -490638.6832572416 657929.084449914))",80
81,,"POLYGON ((-489705.1380196209 657914.088152333, -488771.6137433043 657899.1064505257, -488786.55708232045 656966.8710590085, -489720.09592332796 656981.8318377497, -489705.1380196209 657914.088152333))",81
82,,"POLYGON ((-565408.169887728 658242.2071073283, -564472.8667827782 658226.0602970086, -564488.9724952285 657292.063454272, -565424.2902814175 657308.1876833333, -565408.169887728 658242.2071073283))",82
83,,"POLYGON ((-564472.8667827782 658226.0602970086, -563537.5862794027 658209.9281977911, -563553.6773123743 657275.9539157641, -564488.9724952285 657292.063454272, -564472.8667827782 658226.0602970086))",83
84,,"POLYGON ((-563537.5862794027 658209.9281977911, -562602.3283570269 658193.8108079126, -562618.4047122784 657259.8590660488, -563553.6773123743 657275.9539157641, -563537.5862794027 658209.9281977911))",84
85,,"POLYGON ((-562602.3283570269 658193.8108079126, -561667.0929950771 658177.7081256115, -561683.1546743659 657243.7789033668, -562618.4047122784 657259.8590660488, -562602.3283570269 658193.8108079126))",85
86,,"POLYGON ((-561667.0929950771 658177.7081256115, -560731.8801729835 658161.6201491284, -560747.9271780644 657227.7134259611, -561683.1546743659 657243.7789033668, -561667.0929950771 658177.7081256115))",86
87,,"POLYGON ((-560731.8801729835 658161.6201491284, -559796.6898701766 658145.5468767048, -559812.7222028037 657211.6626320755, -560747.9271780644 657227.7134259611, -560731.8801729835 658161.6201491284))",87
88,,"POLYGON ((-559796.6898701766 658145.5468767048, -558861.5220660919 658129.4883065844, -558877.5397280166 657195.6265199565, -559812.7222028037 657211.6626320755, -559796.6898701766 658145.5468767048))",88
89,,"POLYGON ((-558861.5220660919 658129.4883065844, -557926.3767401646 658113.4444370124, -557942.3797331376 657179.6050878512, -558877.5397280166 657195.6265199565, -558861.5220660919 658129.4883065844))",89
90,,"POLYGON ((-557926.3767401646 658113.4444370124, -556991.2538718341 658097.4152662362, -557007.2421976039 657163.5983340094, -557942.3797331376 657179.6050878512, -557926.3767401646 658113.4444370124))",90
