,pop_grid_pop,geometry,pop_grid_id
0,350.6416931152344,"POLYGON ((687048.9434863712 7820503.353297679, 687922.6131129911 7820494.154854237, 687912.8760725185 7819571.6672083065, 687039.2517669424 7819580.868910353, 687048.9434863712 7820503.353297679))",0
1,260.9447326660156,"POLYGON ((687922.6131129911 7820494.154854237, 688796.2858333397 7820484.913496349, 688786.503470923 7819562.422576621, 687912.8760725185 7819571.6672083065, 687922.6131129911 7820494.154854237))",1
2,182.65760803222656,"POLYGON ((688796.2858333397 7820484.913496349, 689669.9616618099 7820475.62922316, 689660.1339765453 7819553.135014439, 688786.503470923 7819562.422576621, 688796.2858333397 7820484.913496349))",2
3,112.93008422851562,"POLYGON ((689669.9616618099 7820475.62922316, 690543.6406127948 7820466.302033814, 690533.7676037737 7819543.804520903, 689660.1339765453 7819553.135014439, 689669.9616618099 7820475.62922316))",3
4,80.79568481445312,"POLYGON ((690543.6406127948 7820466.302033814, 691417.322700687 7820456.931927446, 691407.4043669967 7819534.431095151, 690533.7676037737 7819543.804520903, 690543.6406127948 7820466.302033814))",4
5,,"POLYGON ((691417.322700687 7820456.931927446, 692291.0079398802 7820447.51890319, 692281.0442806042 7819525.014736315, 691407.4043669967 7819534.431095151, 691417.322700687 7820456.931927446))",5
6,,"POLYGON ((692291.0079398802 7820447.51890319, 693164.6963447665 7820438.062960178, 693154.6873589836 7819515.555443528, 692281.0442806042 7819525.014736315, 692291.0079398802 7820447.51890319))",6
7,,"POLYGON ((693164.6963447665 7820438.062960178, 694038.3879297407 7820428.564097534, 694028.3336165256 7819506.053215912, 693154.6873589836 7819515.555443528, 693164.6963447665 7820438.062960178))",7
8,,"POLYGON ((694038.3879297407 7820428.564097534, 694912.0827091942 7820419.022314381, 694901.9830676176 7819496.508052591, 694028.3336165256 7819506.053215912, 694038.3879297407 7820428.564097534))",8
9,,"POLYGON ((694912.0827091942 7820419.022314381, 695785.7806975236 7820409.437609835, 695775.6357266519 7819486.919952681, 694901.9830676176 7819496.508052591, 694912.0827091942 7820419.022314381))",9
10,,"POLYGON ((695785.7806975236 7820409.437609835, 696659.4819091209 7820399.809983013, 696649.2916080164 7819477.288915299, 695775.6357266519 7819486.919952681, 695785.7806975236 7820409.437609835))",10
11,,"POLYGON ((696659.4819091209 7820399.809983013, 697533.186358381 7820390.139433023, 697522.9507261014 7819467.614939551, 696649.2916080164 7819477.288915299, 696659.4819091209 7820399.809983013))",11
12,,"POLYGON ((697533.186358381 7820390.139433023, 698406.8940596987 7820380.425958971, 698396.6130952982 7819457.898024544, 697522.9507261014 7819467.614939551, 697533.186358381 7820390.139433023))",12
13,,"POLYGON ((698406.8940596987 7820380.425958971, 699280.6050274669 7820370.669559957, 699270.2787299949 7819448.138169382, 698396.6130952982 7819457.898024544, 698406.8940596987 7820380.425958971))",13
14,,"POLYGON ((699280.6050274669 7820370.669559957, 700154.3192760828 7820360.870235084, 700143.9476445848 7819438.3353731595, 699270.2787299949 7819448.138169382, 699280.6050274669 7820370.669559957))",14
15,,"POLYGON ((700154.3192760828 7820360.870235084, 701028.0368199395 7820351.027983444, 701017.6198534567 7819428.489634972, 700143.9476445848 7819438.3353731595, 700154.3192760828 7820360.870235084))",15
16,,"POLYGON ((687039.2517669424 7819580.868910353, 687912.8760725185 7819571.6672083065, 687903.1350700846 7818649.1787901595, 687029.556103985 7818658.383750033, 687039.2517669424 7819580.868910353))",16
