,pop_grid_pop,geometry,pop_grid_id
0,,"POLYGON ((266038.8024877792 8053582.980171487, 266923.5338484186 8053593.254660503, 266934.2289459988 8052670.767522832, 266049.53825628816 8052660.4887933815, 266038.8024877792 8053582.980171487))",0
1,,"POLYGON ((266923.5338484186 8053593.254660503, 267808.2611494828 8053603.490152699, 267818.91557715426 8052681.007239377, 266934.2289459988 8052670.767522832, 266923.5338484186 8053593.254660503))",1
2,,"POLYGON ((267808.2611494828 8053603.490152699, 268692.9844064005 8053613.68664905, 268703.59816517925 8052691.207943993, 267818.91557715426 8052681.007239377, 267808.2611494828 8053603.490152699))",2
3,,"POLYGON ((268692.9844064005 8053613.68664905, 269577.7036345999 8053623.844150529, 269588.27672549826 8052701.369637652, 268703.59816517925 8052691.207943993, 268692.9844064005 8053613.68664905))",3
4,,"POLYGON ((269577.7036345999 8053623.844150529, 270462.4188495071 8053633.9626581045, 270472.95127353317 8052711.492321324, 269588.27672549826 8052701.369637652, 269577.7036345999 8053623.844150529))",4
5,,"POLYGON ((270462.4188495071 8053633.9626581045, 271347.13006654964 8053644.042172741, 271357.621824708 8052721.575995973, 270472.95127353317 8052711.492321324, 270462.4188495071 8053633.9626581045))",5
6,,"POLYGON ((271347.13006654964 8053644.042172741, 272231.8373011544 8053654.082695401, 272242.2883944456 8052731.620662563, 271357.621824708 8052721.575995973, 271347.13006654964 8053644.042172741))",6
7,,"POLYGON ((272231.8373011544 8053654.082695401, 273116.5405687479 8053664.084227041, 273126.9509981687 8052741.62632205, 272242.2883944456 8052731.620662563, 272231.8373011544 8053654.082695401))",7
8,,"POLYGON ((273116.5405687479 8053664.084227041, 274001.2398847571 8053674.046768616, 274011.6096513 8052751.592975387, 273126.9509981687 8052741.62632205, 273116.5405687479 8053664.084227041))",8
9,,"POLYGON ((274001.2398847571 8053674.046768616, 274885.9352646066 8053683.970321075, 274896.2643692606 8052761.5206235275, 274011.6096513 8052751.592975387, 274001.2398847571 8053674.046768616))",9
10,,"POLYGON ((274885.9352646066 8053683.970321075, 275770.62672372255 8053693.854885364, 275780.9151674727 8052771.409267416, 274896.2643692606 8052761.5206235275, 274885.9352646066 8053683.970321075))",10
11,,"POLYGON ((275770.62672372255 8053693.854885364, 276655.31427753135 8053703.700462427, 276665.5620613587 8052781.258907996, 275780.9151674727 8052771.409267416, 275770.62672372255 8053693.854885364))",11
12,,"POLYGON ((276655.31427753135 8053703.700462427, 277539.9979414559 8053713.507053202, 277550.2050663377 8052791.069546206, 276665.5620613587 8052781.258907996, 276655.31427753135 8053703.700462427))",12
13,,"POLYGON ((277539.9979414559 8053713.507053202, 278424.6777309239 8053723.274658625, 278434.8441978336 8052800.841182983, 277550.2050663377 8052791.069546206, 277539.9979414559 8053713.507053202))",13
14,,"POLYGON ((278424.6777309239 8053723.274658625, 279309.353661358 8053733.003279626, 279319.4794712648 8052810.573819256, 278434.8441978336 8052800.841182983, 278424.6777309239 8053723.274658625))",14
15,,"POLYGON ((279309.353661358 8053733.003279626, 280194.025748183 8053742.692917135, 280204.11090205266 8052820.267455957, 279319.4794712648 8052810.573819256, 279309.353661358 8053733.003279626))",15
16,,"POLYGON ((280194.025748183 8053742.692917135, 281078.69400682405 8053752.343572074, 281088.73850561795 8052829.922094007, 280204.11090205266 8052820.267455957, 280194.025748183 8053742.692917135))",16
17,,"POLYGON ((281078.69400682405 8053752.343572074, 281963.3584527032 8053761.9552453635, 281973.3622973793 8052839.537734328, 281088.73850561795 8052829.922094007, 281078.69400682405 8053752.343572074))",17
18,,"POLYGON ((281963.3584527032 8053761.9552453635, 282848.0191012449 8053771.527937921, 282857.9822927572 8052849.114377837, 281973.3622973793 8052839.537734328, 281963.3584527032 8053761.9552453635))",18
19,,"POLYGON ((282848.0191012449 8053771.527937921, 283732.6759678724 8053781.061650659, 283742.5985071707 8052858.652025446, 282857.9822927572 8052849.114377837, 282848.0191012449 8053771.527937921))",19
20,,"POLYGON ((283732.6759678724 8053781.061650659, 284617.3290680087 8053790.556384485, 284627.21095603926 8052868.150678066, 283742.5985071707 8052858.652025446, 283732.6759678724 8053781.061650659))",20
21,,"POLYGON ((284617.3290680087 8053790.556384485, 285501.9784170772 8053800.012140308, 285511.8196547822 8052877.6103366, 284627.21095603926 8052868.150678066, 284617.3290680087 8053790.556384485))",21
