,pop_grid_pop,geometry,pop_grid_id
0,,"POLYGON ((3459631.418333329 460.31567015102155, 3460661.217016838 460.34814402607714, 3460661.2134339144 -562.5927613822662, 3459631.4147519963 -562.5530749683086, 3459631.418333329 460.31567015102155))",0
1,,"POLYGON ((3460661.217016838 460.34814402607714, 3461691.08836309 460.3806323230667, 3461691.084778575 -562.6324654213097, 3460661.2134339144 -562.5927613822662, 3460661.217016838 460.34814402607714))",1
2,,"POLYGON ((3461691.08836309 460.3806323230667, 3462721.032404353 460.413135046461, 3462721.0288182464 -562.6721870909031, 3461691.084778575 -562.6324654213097, 3461691.08836309 460.3806323230667))",2
3,,"POLYGON ((3462721.032404353 460.413135046461, 3463751.0491729053 460.44565220073395, 3463751.0455852067 -562.7119263965137, 3462721.0288182464 -562.6721870909031, 3462721.032404353 460.413135046461))",3
4,,"POLYGON ((3463751.0491729053 460.44565220073395, 3464781.138701033 460.4781837903617, 3464781.1351117427 -562.7516833436118, 3463751.0455852067 -562.7119263965137, 3463751.0491729053 460.44565220073395))",4
5,,"POLYGON ((3464781.138701033 460.4781837903617, 3465811.301021039 460.5107298198236, 3465811.297430155 -562.7914579376719, 3464781.1351117427 -562.7516833436118, 3464781.138701033 460.4781837903617))",5
6,387.38262939453125,"POLYGON ((3465811.301021039 460.5107298198236, 3466841.5361652253 460.54329029360133, 3466841.5325727486 -562.8312501841709, 3465811.297430155 -562.7914579376719, 3465811.301021039 460.5107298198236))",6
7,213.09825134277344,"POLYGON ((3466841.5361652253 460.54329029360133, 3467871.844165915 460.5758652161795, 3467871.840571844 -562.8710600885897, 3466841.5325727486 -562.8312501841709, 3466841.5361652253 460.54329029360133))",7
8,147.59222412109375,"POLYGON ((3467871.844165915 460.5758652161795, 3468902.2250554315 460.60845459204546, 3468902.2214597664 -562.9108876564122, 3467871.840571844 -562.8710600885897, 3467871.844165915 460.5758652161795))",8
9,,"POLYGON ((3468902.2250554315 460.60845459204546, 3469932.6788661173 460.6410584256896, 3469932.675268857 -562.9507328931257, 3468902.2214597664 -562.9108876564122, 3468902.2250554315 460.60845459204546))",9
10,,"POLYGON ((3469932.6788661173 460.6410584256896, 3470963.20563032 460.6736767216043, 3470963.202031463 -562.9905958042209, 3469932.675268857 -562.9507328931257, 3469932.6788661173 460.6410584256896))",10
11,,"POLYGON ((3470963.20563032 460.6736767216043, 3471993.805380395 460.7063094842853, 3471993.8017799417 -563.0304763951918, 3470963.202031463 -562.9905958042209, 3470963.20563032 460.6736767216043))",11
12,,"POLYGON ((3471993.805380395 460.7063094842853, 3473024.4781487132 460.73895671823107, 3473024.4745466644 -563.070374671536, 3471993.8017799417 -563.0304763951918, 3471993.805380395 460.7063094842853))",12
13,,"POLYGON ((3473024.4781487132 460.73895671823107, 3474055.22396765 460.77161842794254, 3474055.220364005 -563.1102906387539, 3473024.4745466644 -563.070374671536, 3473024.4781487132 460.73895671823107))",13
14,,"POLYGON ((3474055.22396765 460.77161842794254, 3475086.042869598 460.80429461792335, 3475086.039264355 -563.15022430235, 3474055.220364005 -563.1102906387539, 3474055.22396765 460.77161842794254))",14
15,,"POLYGON ((3475086.042869598 460.80429461792335, 3476116.9348869547 460.83698529268025, 3476116.931280113 -563.1901756678315, 3475086.039264355 -563.15022430235, 3475086.042869598 460.80429461792335))",15
16,,"POLYGON ((3476116.9348869547 460.83698529268025, 3477147.9000521256 460.8696904567225, 3477147.896443686 -563.2301447407093, 3476116.931280113 -563.1901756678315, 3476116.9348869547 460.83698529268025))",16
