,pop_grid_pop,geometry,pop_grid_id
0,,"POLYGON ((241228.79943433026 137954.75501940225, 242156.63836989622 137953.9364547929, 242155.82926571372 137032.0903065688, 241227.98741215185 137032.90340473104, 241228.79943433026 137954.75501940225))",0
1,221.2827606201172,"POLYGON ((242156.63836989622 137953.9364547929, 243084.4718134327 137953.12083694062, 243083.6656271596 137031.28013548497, 242155.82926571372 137032.0903065688, 242156.63836989622 137953.9364547929))",1
2,369.81170654296875,"POLYGON ((243084.4718134327 137953.12083694062, 244012.2997847461 137952.30816575795, 244011.49651629577 137030.47289139265, 243083.6656271596 137031.28013548497, 243084.4718134327 137953.12083694062))",2
3,407.1957092285156,"POLYGON ((244012.2997847461 137952.30816575795, 244940.1223036402 137951.49844115772, 244939.32195292687 137029.66857420543, 244011.49651629577 137030.47289139265, 244012.2997847461 137952.30816575795))",3
4,328.97113037109375,"POLYGON ((244940.1223036402 137951.49844115772, 245867.93938992318 137950.6916630532, 245867.1419568607 137028.86718383688, 244939.32195292687 137029.66857420543, 244940.1223036402 137951.49844115772))",4
5,285.81005859375,"POLYGON ((245867.93938992318 137950.6916630532, 246795.75106339622 137949.88783135786, 246794.9565478992 137028.06872020123, 245867.1419568607 137028.86718383688, 245867.93938992318 137950.6916630532))",5
6,395.6917724609375,"POLYGON ((246795.75106339622 137949.88783135786, 247723.55734386464 137949.08694598556, 247722.76574584786 137027.27318321288, 246794.9565478992 137028.06872020123, 246795.75106339622 137949.88783135786))",6
7,294.3956298828125,"POLYGON ((247723.55734386464 137949.08694598556, 248651.35825113292 137948.2890068504, 248650.56957051164 137026.48057278647, 247722.76574584786 137027.27318321288, 247723.55734386464 137949.08694598556))",7
8,141.52513122558594,"POLYGON ((248651.35825113292 137948.2890068504, 249579.15380500234 137947.49401386688, 249578.3680416919 137025.6908888371, 248650.56957051164 137026.48057278647, 248651.35825113292 137948.2890068504))",8
9,,"POLYGON ((249579.15380500234 137947.49401386688, 250506.94402527506 137946.7019669497, 250506.16117919117 137024.90413128008, 249578.3680416919 137025.6908888371, 249579.15380500234 137947.49401386688))",9
10,,"POLYGON ((250506.94402527506 137946.7019669497, 251434.72893175075 137945.91286601403, 251433.9490028097 137024.12030003106, 250506.16117919117 137024.90413128008, 250506.94402527506 137946.7019669497))",10
11,,"POLYGON ((251434.72893175075 137945.91286601403, 252362.50854423354 137945.12671097528, 252361.73153235164 137023.33939500607, 251433.9490028097 137024.12030003106, 251434.72893175075 137945.91286601403))",11
12,,"POLYGON ((252362.50854423354 137945.12671097528, 253290.28288252206 137944.3435017492, 253289.50878761598 137022.56141612137, 252361.73153235164 137023.33939500607, 252362.50854423354 137945.12671097528))",12
13,,"POLYGON ((253290.28288252206 137944.3435017492, 254218.0519664149 137943.56323825172, 254217.28078840167 137021.78636329356, 253289.50878761598 137022.56141612137, 253290.28288252206 137944.3435017492))",13
14,,"POLYGON ((254218.0519664149 137943.56323825172, 255145.81581571387 137942.78592039933, 255145.04755451088 137021.01423643957, 254217.28078840167 137021.78636329356, 254218.0519664149 137943.56323825172))",14
15,,"POLYGON ((241227.98741215185 137032.90340473104, 242155.82926571372 137032.0903065688, 242155.02558549854 136110.24420699014, 241227.18083350186 136111.05183863663, 241227.98741215185 137032.90340473104))",15
16,243.36187744140625,"POLYGON ((242155.82926571372 137032.0903065688, 243083.6656271596 137031.28013548497, 243082.86484529314 136109.43948274312, 242155.02558549854 136110.24420699014, 242155.82926571372 137032.0903065688))",16
17,560.6038208007812,"POLYGON ((243083.6656271596 137031.28013548497, 244011.49651629577 137030.47289139265, 244010.69863269205 136108.63766580936, 243082.86484529314 136109.43948274312, 243083.6656271596 137031.28013548497))",17
