,pop_grid_pop,geometry,pop_grid_id
0,,"POLYGON ((405714.33654021996 545032.8308249611, 406638.31954564987 545031.6578277736, 406637.1567575488 544110.4072153764, 405713.1622408398 544111.5782494502, 405714.33654021996 545032.8308249611))",0
1,,"POLYGON ((406638.31954564987 545031.6578277736, 407562.3005918932 545030.4963856741, 407561.1493149479 544109.2477170521, 406637.1567575488 544110.4072153764, 406638.31954564987 545031.6578277736))",1
2,,"POLYGON ((407562.3005918932 545030.4963856741, 408486.2796983436 545029.3464985391, 408485.13993243186 544108.0997543541, 407561.1493149479 544109.2477170521, 407562.3005918932 545030.4963856741))",2
3,,"POLYGON ((408486.2796983436 545029.3464985391, 409410.25688439875 545028.2081662468, 409409.1286293996 544106.9633271609, 408485.13993243186 544108.0997543541, 408486.2796983436 545029.3464985391))",3
4,,"POLYGON ((409410.25688439875 545028.2081662468, 410334.23216945195 545027.0813886762, 410333.11542524555 544105.8384353517, 409409.1286293996 544106.9633271609, 409410.25688439875 545028.2081662468))",4
5,,"POLYGON ((410334.23216945195 545027.0813886762, 411258.2055728948 545025.9661657077, 411257.1003393627 544104.7250788072, 410333.11542524555 544105.8384353517, 410334.23216945195 545027.0813886762))",5
6,,"POLYGON ((411258.2055728948 545025.9661657077, 412182.1771141272 545024.8624972231, 412181.0833911521 544103.6232574091, 411257.1003393627 544104.7250788072, 411258.2055728948 545025.9661657077))",6
7,,"POLYGON ((412182.1771141272 545024.8624972231, 413106.14681254036 545023.770383105, 413105.0646000063 544102.5329710406, 412181.0833911521 544103.6232574091, 412182.1771141272 545024.8624972231))",7
8,,"POLYGON ((413106.14681254036 545023.770383105, 414030.11468752834 545022.6898232378, 414029.0439853204 544101.454219586, 413105.0646000063 544102.5329710406, 413106.14681254036 545023.770383105))",8
9,,"POLYGON ((414030.11468752834 545022.6898232378, 414954.0807584833 545021.6208175069, 414953.0215664878 544100.3870029306, 414029.0439853204 544101.454219586, 414030.11468752834 545022.6898232378))",9
10,,"POLYGON ((414954.0807584833 545021.6208175069, 415878.0450448016 545020.5633657984, 415876.9973629061 544099.3313209614, 414953.0215664878 544100.3870029306, 414954.0807584833 545021.6208175069))",10
