grid_code,origin_lat,origin_lon,destination_name,dest_lat,dest_lon,min_duration,population
53937,12.024583486363637,8.472916647653847,Sabo Bakin Zuwo General Hospital,12.00065,8.50923,686.79,3054.1409
17840,12.024583486363637,8.481249980961538,Sabo Bakin Zuwo General Hospital,12.00065,8.50923,722.17,3737.3926
54264,12.024583486363637,8.48958331426923,Sabo Bakin Zuwo General Hospital,12.00065,8.50923,569.7,5439.91
18673,12.024583486363637,8.497916647576924,Sabo Bakin Zuwo General Hospital,12.00065,8.50923,395.79,4532.4644
76531,12.024583486363637,8.506249980884615,Sabo Bakin Zuwo General Hospital,12.00065,8.50923,411.43,1577.2614
82948,12.024583486363637,8.514583314192308,Mohammed Abdullahi Wase General Hospital,11.9909495,8.507711,372.64,1083.8748
27823,12.024583486363637,8.5229166475,Mohammed Abdullahi Wase General Hospital,11.9909495,8.507711,366.88,1068.3615
25293,12.024583486363637,8.531249980807692,Mohammed Abdullahi Wase General Hospital,11.9909495,8.507711,399.73,1173.6497
32596,12.024583486363637,8.539583314115385,Mohammed Abdullahi Wase General Hospital,11.9909495,8.507711,381.18,1383.3887
85818,12.024583486363637,8.547916647423076,Mohammed Abdullahi Wase General Hospital,11.9909495,8.507711,458.72,1420.5986
48149,12.024583486363637,8.556249980730769,Mohammed Abdullahi Wase General Hospital,11.9909495,8.507711,545.39,1093.3398
84648,12.024583486363637,8.564583314038462,Mohammed Abdullahi Wase General Hospital,11.9909495,8.507711,576.74,1097.6091
31813,12.024583486363637,8.572916647346153,Mohammed Abdullahi Wase General Hospital,11.9909495,8.507711,627.49,1195.0704
94268,12.01625015309091,8.472916647653847,Sabo Bakin Zuwo General Hospital,12.00065,8.50923,570.74,3671.0984
86236,12.01625015309091,8.481249980961538,Sabo Bakin Zuwo General Hospital,12.00065,8.50923,462.72,4650.415
14903,12.01625015309091,8.48958331426923,Sabo Bakin Zuwo General Hospital,12.00065,8.50923,414.33,6482.453
85790,12.01625015309091,8.497916647576924,Sabo Bakin Zuwo General Hospital,12.00065,8.50923,495.14,6651.0913
47793,12.01625015309091,8.506249980884615,Sabo Bakin Zuwo General Hospital,12.00065,8.50923,287.89,6159.008
50387,12.01625015309091,8.514583314192308,Sabo Bakin Zuwo General Hospital,12.00065,8.50923,273.89,2081.7334
62397,12.01625015309091,8.5229166475,Mohammed Abdullahi Wase General Hospital,11.9909495,8.507711,259.96,1423.7905
67364,12.01625015309091,8.531249980807692,Mohammed Abdullahi Wase General Hospital,11.9909495,8.507711,311.96,2985.9006
80633,12.01625015309091,8.539583314115385,Mohammed Abdullahi Wase General Hospital,11.9909495,8.507711,314.46,4123.778
37084,12.01625015309091,8.547916647423076,Mohammed Abdullahi Wase General Hospital,11.9909495,8.507711,423.03,2424.7056
45395,12.01625015309091,8.556249980730769,Mohammed Abdullahi Wase General Hospital,11.9909495,8.507711,525.8,1035.0211
85073,12.01625015309091,8.564583314038462,Mohammed Abdullahi Wase General Hospital,11.9909495,8.507711,587.08,1063.7708
34712,12.01625015309091,8.572916647346153,Mohammed Abdullahi Wase General Hospital,11.9909495,8.507711,615.32,1340.0154
92457,12.007916819818183,8.472916647653847,Sabo Bakin Zuwo General Hospital,12.00065,8.50923,507.91,2067.7793
67263,12.007916819818183,8.481249980961538,Sabo Bakin Zuwo General Hospital,12.00065,8.50923,392.51,4090.5957
79886,12.007916819818183,8.48958331426923,Sabo Bakin Zuwo General Hospital,12.00065,8.50923,365.12,6457.617
71973,12.007916819818183,8.497916647576924,Sabo Bakin Zuwo General Hospital,12.00065,8.50923,307.07,6941.0674
57089,12.007916819818183,8.506249980884615,Sabo Bakin Zuwo General Hospital,12.00065,8.50923,202.41,7577.261
53803,12.007916819818183,8.514583314192308,Sabo Bakin Zuwo General Hospital,12.00065,8.50923,158.68,7593.767
63295,12.007916819818183,8.5229166475,Sabo Bakin Zuwo General Hospital,12.00065,8.50923,195.45,6971.277
96268,12.007916819818183,8.531249980807692,Mohammed Abdullahi Wase General Hospital,11.9909495,8.507711,218.19,7576.394
67975,12.007916819818183,8.539583314115385,Mohammed Abdullahi Wase General Hospital,11.9909495,8.507711,313.79,5736.1187
21567,12.007916819818183,8.547916647423076,Mohammed Abdullahi Wase General Hospital,11.9909495,8.507711,382.02,1756.3925
73361,12.007916819818183,8.556249980730769,Mohammed Abdullahi Wase General Hospital,11.9909495,8.507711,412.05,1481.0238
93682,12.007916819818183,8.564583314038462,Mohammed Abdullahi Wase General Hospital,11.9909495,8.507711,501.27,1645.604
12515,12.007916819818183,8.572916647346153,Mohammed Abdullahi Wase General Hospital,11.9909495,8.507711,549.07,1393.8418
26614,11.999583486545456,8.472916647653847,Sabo Bakin Zuwo General Hospital,12.00065,8.50923,395.79,3905.822
53848,11.999583486545456,8.481249980961538,Sabo Bakin Zuwo General Hospital,12.00065,8.50923,286.92,4559.6904
84506,11.999583486545456,8.48958331426923,Sabo Bakin Zuwo General Hospital,12.00065,8.50923,214.21,5447.402
57179,11.999583486545456,8.497916647576924,Sabo Bakin Zuwo General Hospital,12.00065,8.50923,125.21,6965.94
95047,11.999583486545456,8.506249980884615,Sabo Bakin Zuwo General Hospital,12.00065,8.50923,99.55,7921.486
98079,11.999583486545456,8.514583314192308,Sabo Bakin Zuwo General Hospital,12.00065,8.50923,69.74,8741.712
74252,11.999583486545456,8.5229166475,Mohammed Abdullahi Wase General Hospital,11.9909495,8.507711,133.26,7905.42
47006,11.999583486545456,8.531249980807692,Mohammed Abdullahi Wase General Hospital,11.9909495,8.507711,205.51,6633.4395
43889,11.999583486545456,8.539583314115385,Mohammed Abdullahi Wase General Hospital,11.9909495,8.507711,443.21,2130.5251
88656,11.999583486545456,8.547916647423076,Mohammed Abdullahi Wase General Hospital,11.9909495,8.507711,414.82,1442.3727
73757,11.999583486545456,8.556249980730769,Maxcare Clinic,11.96792,8.54314,453.67,1375.4358
33350,11.999583486545456,8.564583314038462,Maxcare Clinic,11.96792,8.54314,439.49,1824.1362
37496,11.999583486545456,8.572916647346153,Maxcare Clinic,11.96792,8.54314,491.24,1776.6611
58302,11.991250153272729,8.472916647653847,Mohammed Abdullahi Wase General Hospital,11.9909495,8.507711,357.08,6106.532
40731,11.991250153272729,8.481249980961538,Sabo Bakin Zuwo General Hospital,12.00065,8.50923,324.31,6349.6636
18292,11.991250153272729,8.48958331426923,Mohammed Abdullahi Wase General Hospital,11.9909495,8.507711,224.46,5662.558
39581,11.991250153272729,8.497916647576924,Mohammed Abdullahi Wase General Hospital,11.9909495,8.507711,237.56,6858.6753
20361,11.991250153272729,8.506249980884615,Mohammed Abdullahi Wase General Hospital,11.9909495,8.507711,72.58,7438.5264
