fid,longitude,latitude,lon_min,lon_max,lat_min,lat_max,result
1,31.14183759,-17.60040814,31.14127979,31.1423954,-17.60082,-17.59999627,0
2,31.14286536,-17.60040814,31.14230755,31.14342316,-17.60082,-17.59999627,0
3,31.14389312,-17.60040814,31.14333532,31.14445093,-17.60082,-17.59999627,0
4,31.14492089,-17.60040814,31.14436308,31.1454787,-17.60082,-17.59999627,0
5,31.14594866,-17.60040814,31.14539085,31.14650647,-17.60082,-17.59999627,0
6,31.14697642,-17.60040814,31.14641861,31.14753424,-17.60082,-17.59999627,0
7,31.14800419,-17.60040814,31.14744638,31.148562,-17.60082,-17.59999627,0
8,31.14903196,-17.60040814,31.14847414,31.14958977,-17.60082,-17.59999627,0
9,31.15005972,-17.60040814,31.14950191,31.15061754,-17.60082,-17.59999627,0
10,31.15108749,-17.60040814,31.15052967,31.15164531,-17.60082,-17.59999627,0
11,31.15211526,-17.60040814,31.15155744,31.15267308,-17.60082,-17.59999627,0
12,31.15314302,-17.60040814,31.1525852,31.15370084,-17.60082,-17.59999627,0
13,31.15417079,-17.60040814,31.15361297,31.15472861,-17.60082,-17.59999627,0
14,31.15519855,-17.60040814,31.15464073,31.15575638,-17.60082,-17.59999627,0
15,31.15622632,-17.60040814,31.1556685,31.15678415,-17.60082,-17.59999627,0
16,31.15725409,-17.60040814,31.15669626,31.15781192,-17.60082,-17.59999627,0
17,31.15828185,-17.60040814,31.15772403,31.15883968,-17.60082,-17.59999627,0
18,31.15930962,-17.60040814,31.15875179,31.15986745,-17.60082,-17.59999627,0
19,31.16033739,-17.60040814,31.15977956,31.16089522,-17.60082,-17.59999627,0
20,31.16136515,-17.60040814,31.16080732,31.16192299,-17.60082,-17.59999627,0
21,31.16239292,-17.60040814,31.16183509,31.16295076,-17.60082,-17.59999627,0
22,31.16342069,-17.60040814,31.16286285,31.16397852,-17.60082,-17.59999627,0
23,31.16444845,-17.60040814,31.16389062,31.16500629,-17.60082,-17.59999627,0
24,31.16547622,-17.60040814,31.16491838,31.16603406,-17.60082,-17.59999627,0
25,31.16650399,-17.60040814,31.16594615,31.16706183,-17.60082,-17.59999627,0
26,31.16753175,-17.60040814,31.16697391,31.16808959,-17.60082,-17.59999627,0
27,31.16855952,-17.60040814,31.16800168,31.16911736,-17.60082,-17.59999627,0
28,31.16958729,-17.60040814,31.16902944,31.17014513,-17.60082,-17.59999627,0
29,31.17061505,-17.60040814,31.17005721,31.1711729,-17.60082,-17.59999627,0
30,31.17164282,-17.60040814,31.17108497,31.17220067,-17.60082,-17.59999627,0
31,31.14192544,-17.60123187,31.14136763,31.14248325,-17.60164373,-17.60082,0
32,31.14295321,-17.60123187,31.1423954,31.14351102,-17.60164373,-17.60082,0
33,31.14398098,-17.60123187,31.14342316,31.14453879,-17.60164373,-17.60082,0
34,31.14500875,-17.60123187,31.14445093,31.14556656,-17.60164373,-17.60082,0
35,31.14603652,-17.60123187,31.1454787,31.14659433,-17.60164373,-17.60082,0
36,31.14706428,-17.60123187,31.14650647,31.1476221,-17.60164373,-17.60082,0
37,31.14809205,-17.60123187,31.14753424,31.14864987,-17.60164373,-17.60082,0
38,31.14911982,-17.60123187,31.148562,31.14967764,-17.60164373,-17.60082,0
39,31.15014759,-17.60123187,31.14958977,31.15070541,-17.60164373,-17.60082,0
40,31.15117536,-17.60123187,31.15061754,31.15173319,-17.60164373,-17.60082,0
41,31.15220313,-17.60123187,31.15164531,31.15276096,-17.60164373,-17.60082,0
42,31.1532309,-17.60123187,31.15267308,31.15378873,-17.60164373,-17.60082,0
43,31.15425867,-17.60123187,31.15370084,31.1548165,-17.60164373,-17.60082,0
44,31.15528644,-17.60123187,31.15472861,31.15584427,-17.60164373,-17.60082,0
