fid,longitude,latitude,lon_min,lon_max,lat_min,lat_max,result,focused
1,34.73313061,-0.000404384,34.73263172,34.7336295,-0.000808768,0,0,0
2,34.73412839,-0.000404384,34.7336295,34.73462728,-0.000808768,0,0,0
3,34.73512616,-0.000404384,34.73462727,34.73562505,-0.000808768,0,1,0
4,34.73612394,-0.000404384,34.73562505,34.73662283,-0.000808768,0,1,0
5,34.73712172,-0.000404384,34.73662283,34.73762061,-0.000808768,0,1,0
6,34.7381195,-0.000404384,34.73762061,34.73861839,-0.000808768,0,1,0
7,34.73911727,-0.000404384,34.73861838,34.73961616,-0.000808768,0,1,0
8,34.74011505,-0.000404384,34.73961616,34.74061394,-0.000808768,0,1,0
9,34.74111283,-0.000404384,34.74061394,34.74161172,-0.000808768,0,0,0
10,34.74211061,-0.000404384,34.74161172,34.7426095,-0.000808768,0,1,0
11,34.74310838,-0.000404384,34.74260949,34.74360727,-0.000808768,0,1,0
12,34.74410616,-0.000404384,34.74360727,34.74460505,-0.000808768,0,1,0
13,34.74510394,-0.000404384,34.74460505,34.74560283,-0.000808768,0,1,0
14,34.74610172,-0.000404384,34.74560283,34.74660061,-0.000808768,0,1,0
15,34.74709949,-0.000404384,34.7466006,34.74759838,-0.000808768,0,1,0
16,34.74809727,-0.000404384,34.74759838,34.74859616,-0.000808768,0,1,0
17,34.74909505,-0.000404384,34.74859616,34.74959394,-0.000808768,0,1,0
18,34.75009283,-0.000404384,34.74959394,34.75059172,-0.000808768,0,1,0
19,34.7510906,-0.000404384,34.75059171,34.75158949,-0.000808768,0,1,0
20,34.75208838,-0.000404384,34.75158949,34.75258727,-0.000808768,0,1,0
21,34.75308616,-0.000404384,34.75258727,34.75358505,-0.000808768,0,1,0
22,34.75408393,-0.000404384,34.75358505,34.75458282,-0.000808768,0,1,0
23,34.75508171,-0.000404384,34.75458282,34.7555806,-0.000808768,0,1,0
24,34.75607949,-0.000404384,34.7555806,34.75657838,-0.000808768,0,1,0
25,34.75707727,-0.000404384,34.75657838,34.75757616,-0.000808768,0,1,0
26,34.75807504,-0.000404384,34.75757615,34.75857393,-0.000808768,0,1,0
27,34.75907282,-0.000404384,34.75857393,34.75957171,-0.000808768,0,1,0
28,34.7600706,-0.000404384,34.75957171,34.76056949,-0.000808768,0,1,0
29,34.76106838,-0.000404384,34.76056949,34.76156727,-0.000808768,0,1,0
30,34.76206615,-0.000404384,34.76156726,34.76256504,-0.000808768,0,0,0
31,34.73313061,-0.001213152,34.73263172,34.73362951,-0.001617536,-0.000808768,0,0
32,34.73412839,-0.001213152,34.7336295,34.73462728,-0.001617536,-0.000808768,0,0
33,34.73512617,-0.001213152,34.73462728,34.73562506,-0.001617536,-0.000808768,1,0
34,34.73612395,-0.001213152,34.73562505,34.73662284,-0.001617536,-0.000808768,1,0
35,34.73712172,-0.001213152,34.73662283,34.73762062,-0.001617536,-0.000808768,1,0
36,34.7381195,-0.001213152,34.73762061,34.73861839,-0.001617536,-0.000808768,1,0
37,34.73911728,-0.001213152,34.73861839,34.73961617,-0.001617536,-0.000808768,1,0
38,34.74011506,-0.001213152,34.73961616,34.74061395,-0.001617536,-0.000808768,1,0
39,34.74111283,-0.001213152,34.74061394,34.74161172,-0.001617536,-0.000808768,1,0
40,34.74211061,-0.001213152,34.74161172,34.7426095,-0.001617536,-0.000808768,1,0
41,34.74310839,-0.001213152,34.7426095,34.74360728,-0.001617536,-0.000808768,1,0
42,34.74410617,-0.001213152,34.74360727,34.74460506,-0.001617536,-0.000808768,1,0
43,34.74510394,-0.001213152,34.74460505,34.74560283,-0.001617536,-0.000808768,1,0
44,34.74610172,-0.001213152,34.74560283,34.74660061,-0.001617536,-0.000808768,1,0
45,34.7470995,-0.001213152,34.74660061,34.74759839,-0.001617536,-0.000808768,1,0
46,34.74809727,-0.001213152,34.74759838,34.74859617,-0.001617536,-0.000808768,1,0
47,34.74909505,-0.001213152,34.74859616,34.74959394,-0.001617536,-0.000808768,1,0
48,34.75009283,-0.001213152,34.74959394,34.75059172,-0.001617536,-0.000808768,1,0
49,34.75109061,-0.001213152,34.75059172,34.7515895,-0.001617536,-0.000808768,1,0
50,34.75208838,-0.001213152,34.75158949,34.75258728,-0.001617536,-0.000808768,1,0
51,34.75308616,-0.001213152,34.75258727,34.75358505,-0.001617536,-0.000808768,1,0
52,34.75408394,-0.001213152,34.75358505,34.75458283,-0.001617536,-0.000808768,1,0
53,34.75508172,-0.001213152,34.75458282,34.75558061,-0.001617536,-0.000808768,1,0
54,34.75607949,-0.001213152,34.7555806,34.75657839,-0.001617536,-0.000808768,1,0
55,34.75707727,-0.001213152,34.75657838,34.75757616,-0.001617536,-0.000808768,1,0
56,34.75807505,-0.001213152,34.75757616,34.75857394,-0.001617536,-0.000808768,1,0
57,34.75907283,-0.001213152,34.75857393,34.75957172,-0.001617536,-0.000808768,1,0
