OBJECTID,globalid,nhfr_uid,nhfr_facility_code,country,iso,state,lga,lga_name_disagreement,ward,ward_name_disagreement,facility_name,facility_name_source,ownership,ownership_type,facility_level,facility_level_option,last_updated,longitude,latitude,Local Validation
1351,ebedc02c-64f3-48c3-86d0-83b525a010e1,22817110.0,37/06/1/1/1/0336,Nigeria,NGA,Fct,Abuja Municipal Area Council,0,Kabusa,0,Galadimawa Health Clinic,NHFR_2024,Public,Local Government,Primary,Primary Health Clinic,11/11/2024,7.4259867,8.9921167,Primary Health Clinic
1353,f917d0a1-5c2e-4ac3-8894-239668026c4d,67005003.0,37/06/1/1/1/0002,Nigeria,NGA,Fct,Abuja Municipal Area Council,0,Gui,1,Abuja Apo Clinic,NHFR_2024,Public,Local Government,Primary,Primary Health Center,11/11/2024,7.4772066,9.0766981,Primary Health Center
1354,e0baa86a-de96-46e4-9056-8b8abe81682d,66485163.0,37/06/1/1/1/0336,Nigeria,NGA,Fct,Abuja Municipal Area Council,0,Garki,0,Kobi Primary Health Clinic,NHFR_2024,Public,Local Government,Primary,Primary Health Clinic,11/11/2024,7.5241246,8.9992791,Primary Health Clinic
3723,799a36ef-3f08-406f-a743-261c9194b5db,54836418.0,37/06/1/1/2/0127,Nigeria,NGA,Fct,Abuja Municipal Area Council,0,City Centre,0,Family Health Centre ,NHFR_2024,Public,Local Government,Primary,Primary Health Clinic,11/11/2024,7.47846,9.03602,Primary Health Clinic
10436,1a478ba2-ba0c-4c9a-988b-f2b25e5b89bf,21442234.0,37/06/1/1/1/0028,Nigeria,NGA,Fct,Abuja Municipal Area Council,0,Kabusa,0,Ketti Primary Health Care Center,NHFR_2024,Public,Local Government,Primary,Primary Health Center,11/11/2024,7.394287109,8.926513672,Primary Health Center
10437,71b26653-63ab-4506-a121-3ae2f7d1ccdf,25453149.0,37/06/1/1/1/0023,Nigeria,NGA,Fct,Abuja Municipal Area Council,0,Karu,0,Jikwoyi Primary Health Clinic,NHFR_2024,Public,Local Government,Primary,Primary Health Clinic,11/11/2024,7.564514161,8.984313965,Primary Health Clinic
10800,2c28b2ab-9924-4bd9-95f7-a99ab9ffeeff,15656732.0,37/06/1/1/1/0031,Nigeria,NGA,Fct,Abuja Municipal Area Council,0,Gwarimpa,0,Mabushi Primary Health Center,NHFR_2024,Public,Local Government,Primary,Primary Health Clinic,11/11/2024,7.454284668,9.082092285,Primary Health Clinic
10804,0fb67dd4-029e-4983-a9b7-a2c6fbb21df6,16651207.0,37/06/1/1/1/0012,Nigeria,NGA,Fct,Abuja Municipal Area Council,0,Garki,0,Garki Village Primary Health Clinic,NHFR_2024,Public,Local Government,Primary,Primary Health Clinic,11/11/2024,7.48852539,9.01928711,Primary Health Clinic
10806,13224d6a-c99b-407f-acfa-aa657a6c3421,47451176.0,37/06/1/1/1/0041,Nigeria,NGA,Fct,Abuja Municipal Area Council,0,Kabusa,0,Pyakasa Primary Health Care Center,NHFR_2024,Public,Local Government,Primary,Primary Health Center,11/11/2024,7.405517578,8.965698242,Primary Health Center
10807,cd145a92-f0f1-4fad-bc89-e19470a936f0,83716614.0,37/06/1/1/1/0004,Nigeria,NGA,Fct,Abuja Municipal Area Council,0,Kabusa,0,Burum Health Clinic,NHFR_2024,Public,Local Government,Primary,Primary Health Clinic,11/11/2024,7.442077637,8.889099121,Primary Health Clinic
10815,fed1a776-aa0f-4503-b5f8-c9a690491b80,76111360.0,37/06/1/1/1/0025,Nigeria,NGA,Fct,Abuja Municipal Area Council,0,Gwagwa,0,Kagini Primary Health Care Center,NHFR_2024,Public,Local Government,Primary,Primary Health Center,11/11/2024,7.299316406,9.130126953,Primary Health Center
10817,1d286cb0-f8b3-462a-a891-d4dee6f3612f,56571619.0,37/06/1/1/1/0034,Nigeria,NGA,Fct,Abuja Municipal Area Council,0,City Centre,0,National Assembly Staff Clinic,NHFR_2024,Public,Federal Government,Primary,Primary Health Center,11/11/2024,7.494873047,9.040893555,Primary Health Center
11223,6c374a9a-76d0-485c-ae27-3f05f51cc8a4,65598210.0,37/06/1/1/1/0016,Nigeria,NGA,Fct,Abuja Municipal Area Council,0,Gui,0,Gui Primary Health Care Center,NHFR_2024,Public,Local Government,Primary,Primary Health Center,11/11/2024,7.221496582,8.925476074,Primary Health Center
11238,981bed19-8911-45a4-90d3-bc66771cecc2,70046372.0,37/06/1/1/1/0027,Nigeria,NGA,Fct,Abuja Municipal Area Council,0,Karu,0,Karu Primary Health Care Center,NHFR_2024,Public,Local Government,Primary,Primary Health Center,11/11/2024,7.578733471,9.008950048,Primary Health Center
11239,39d28b76-e95d-44dd-be8e-e20e3c460f4b,68833611.0,37/06/1/1/1/0336,Nigeria,NGA,Fct,Abuja Municipal Area Council,0,Nyanya,0,Gbagarape Primary Health Care Center,NHFR_2024,Public,Local Government,Primary,Primary Health Center,11/11/2024,7.580348145,9.054084668,Primary Health Center
11241,0abe2a17-3c2c-41f8-ad5f-fb1de25a4dd8,68950102.0,37/06/1/1/2/0238,Nigeria,NGA,Fct,Abuja Municipal Area Council,0,Gwarimpa,0,Piwoyi Primary Health Clinic,NHFR_2024,Public,Local Government,Primary,Primary Health Clinic,11/11/2024,7.393920898,8.999328613,Primary Health Clinic
11247,8dadced0-1b0c-42ba-b1a0-265ee3568930,14861906.0,37/06/1/1/2/0179,Nigeria,NGA,Fct,Abuja Municipal Area Council,0,Gwarimpa,0,Kuchingoro Primary Health Care Center,NHFR_2024,Public,Local Government,Primary,Primary Health Center,11/11/2024,7.422729492,9.015930175,Primary Health Center
12418,a99df27d-5a1f-4512-92ca-cd99e50e7a6f,13110171.0,37/06/1/1/1/0343,Nigeria,NGA,Fct,Abuja Municipal Area Council,0,Gwagwa,0,Saburi Primary Health Clinic,NHFR_2024,Public,Local Government,Primary,Primary Health Clinic,11/11/2024,7.280056245,9.107876262,Primary Health Clinic
14089,ea579e15-9cc3-4f58-a1d0-0988b360995b,34435377.0,37/06/1/1/1/0018,Nigeria,NGA,Fct,Abuja Municipal Area Council,0,Gwarimpa,0,Gwarimpa Primary Health Clinic,NHFR_2024,Public,Local Government,Primary,Primary Health Clinic,11/11/2024,7.373768052,9.115803663,Primary Health Clinic
14167,d6063429-d125-40a8-b758-6049f0d825f4,69707050.0,37/06/1/1/1/0336,Nigeria,NGA,Fct,Abuja Municipal Area Council,0,Jiwa,1,Jiwa Primary Health Care Center,NHFR_2024,Public,Local Government,Primary,Primary Health Clinic,11/11/2024,7.56729,8.97402,Primary Health Clinic
14196,3023b48c-b997-44e2-8d15-dd06e24a7f4f,76786677.0,37/06/1/1/1/0336,Nigeria,NGA,Fct,Abuja Municipal Area Council,0,Gwarimpa,0,Efab Medical Center,NHFR_2024,Public,State Government,Primary,Primary Health Clinic,11/11/2024,7.39579,9.06073,Primary Health Clinic
15148,f0a782a7-0d15-42ad-abbd-688f8dc6e75e,36821797.0,37/06/1/1/1/0043,Nigeria,NGA,Fct,Abuja Municipal Area Council,0,Gui,0,Tungan Madaki Primary Health Clinic,NHFR_2024,Public,Local Government,Primary,Primary Health Clinic,11/11/2024,7.245194203,9.022663751,Primary Health Clinic
16062,01b220a3-7435-4083-9b66-d4fb12c4bbf5,36453994.0,37/06/1/1/1/0008,Nigeria,NGA,Fct,Abuja Municipal Area Council,0,Gwagwa,0,Dei Dei Primary Health Center,NHFR_2024,Public,Local Government,Primary,Primary Health Center,11/11/2024,7.28217,9.10538,Primary Health Center
16481,9b19f724-6e45-45d4-ac21-702f5318392b,75439060.0,37/06/1/1/1/0336,Nigeria,NGA,Fct,Abuja Municipal Area Council,0,Garki,1,Shadalafiya Clinic,NHFR_2024,Public,State Government,Primary,Primary Health Center,11/11/2024,7.44658,8.94875,Primary Health Center
