fid,field_1,Admin1,Facility_name,Facility_type,Ownership,Latitude,Longitude,LL_source,Sub County,Ward,Level,Operating time,Total In-patient beds,General In-patient beds,Cots,Maternity beds,Emergency casualty bedsc,Intensive Care Unit beds,High Dependency Unit beds,Isolation beds,General theatres,Maternity theatres,Accident and Emergency Casualty Services,Ambulatory Services,Antenatal Care,Blood Services,Cancer Screening,Central Sterile Services Department,Curative Services,Dental services,Emergency Preparedness,Family Planning,Forensic Services,High Dependency Services,HIV/AIDs Prevention And Care Services,ICU Services,Immunisation,Inpatient Services,Integrated Immunization,Integrated Management Of Childhood Illness,Laboratory Services,Leprosy treatment,Maternity Services,Mental Health Services,Mortuary Services,Newborn Care Services,Nutrition Services,Occupational Therapy,Oncology Services,Opthalmic Services,Orthopaedic Technology Services,Pharmacy Services,Physiotherapy,Postnatal Care Services,Radiology and Imaging,Rehabilitation Services,Renal Services,Services For Gender Based Violence Survivors,Specialized In-Patient Services,Specialised Outpatient care,Theatre Services,Tuberculosis Diagnosis and Treatments,Youth Friendly Services
1031,Kenya,Nairobi,The Co-Operative University College of Kenya Dispensary,Dispensary,Ministry of Health,-1.36643,36.72909,KMHFR,Lang'ata,Karen,2,24 hours,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
634,Kenya,Nairobi,Blessed Medicare Centre,Medical Clinic,Private Practice,-1.31566,36.88943,KMHFR,Embakasi South,Kware,2,24 hours + Weekends,4,0,4,0,0,0,0,0,0,0,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
562,Kenya,Nairobi,Jkia Health Centre,Basic Health Centre,Ministry of Health,-1.32882,36.92517,KMHFR,Embakasi East,Embakasi,3,24 hours + Weekends,4,0,0,0,0,0,0,0,0,0,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
1062,Kenya,Nairobi,The Mesu Langata Family Health Care Limited,Medical Clinic,Private Practice,-1.32154,36.7991,KMHFR,Lang'ata,Mugumo-ini,2,24 hours,0,0,0,0,0,0,0,0,0,0,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
620,Kenya,Nairobi,Catholic Dispensary Kariobangi,Dispensary,Faith Based Organization,-1.25775,36.87993,KMHFR,Embakasi North,Kariobangi North,2,24 hours + Weekends,0,0,0,0,0,0,0,0,0,0,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
848,Kenya,Nairobi,Checkups Medical Centre,Medical Center,Private Practice,-1.29346,36.80768,KMHFR,Dagoretti North,Kilimani,3,24 hours,0,0,0,0,0,0,0,0,0,0,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
478,Kenya,Nairobi,Mihango Community Healthcare,Medical Clinic,Private Practice,-1.28774,36.95106,KMHFR,Embakasi East,Mihango,2,24 hours + Weekends,0,0,0,0,0,0,0,0,0,0,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No
959,Kenya,Nairobi,Young Health and Wellness Centre CFK,Medical Clinic,Non-Governmental Organization,-1.3142,36.77879,KMHFR,Kibra,Sarang'ombe,2,24 hours,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
960,Kenya,Nairobi,Tabitha Medical Clinic,Medical Clinic,Non-Governmental Organization,-1.31597,36.78014,KMHFR,Kibra,Sarang'ombe,2,24 hours,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
1004,Kenya,Nairobi,Reliance Hospiatal Limited,Primary Care Hospital,Private Practice,-1.31593,36.82557,KMHFR,Lang'ata,South C,4,24 hours,50,0,10,0,0,0,0,0,0,0,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
158,Kenya,Nairobi,Dexta Hearing Centre,Medical Clinic,Private Practice,-1.2838,36.82218,KMHFR,Starehe,Nairobi Central,2,24 hours,0,0,0,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
488,Kenya,Nairobi,Fokas Hospital Mihang'O Ltd,Medical Center,Private Practice,-1.28372,36.92805,KMHFR,Embakasi East,Mihango,3,24 hours + Weekends,0,13,0,0,0,0,0,0,0,0,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No
